日間照顧中心,臺北市立聯合醫院陽明院區得憶齋失智失能日間照顧中心,臺北市士林區雨聲街105號,28353456轉8310或8311
日間照顧中心,臺北市士林老人服務暨日間照顧中心,臺北市士林區忠誠路二段53巷7號5樓及6樓,(02)2838-1571
日間照顧中心,臺北市私立頤福社區長照機構,臺北市北投區裕民六路120號3樓,22307715
日間照顧中心,臺北榮民總醫院附設遊詣居社區長照機構,臺北市北投區石牌路二段201號長青樓四樓,(02-2871-2121轉1250)
日間照顧中心,臺北市西松老人日間照顧中心(小規模多機能服務),臺北市松山區南京東路五段251巷46弄5號1-3樓,(02)2761-6300
日間照顧中心,臺北市松山老人服務暨日間照顧中心,臺北市松山區健康路317號1樓,(02)2768-5636
日間照顧中心,臺北市信義老人服務暨日間照顧中心,臺北市信義區松隆路36號4、5樓,(02)8787-0300
日間照顧中心,臺北市中山老人住宅暨服務中心,臺北市中山區新生北路二段101巷2號1-6樓,(02)2542-0006
日間照顧中心,臺北市私立安歆松江社區長照機構,臺北市中山區松江路50號3樓A室,022537 1116
日間照顧中心,臺北市復華長青多元服務中心,臺北市中山區遼寧街185巷11號,(02)2717-1393
日間照顧中心,臺北市大同老人日間照顧中心,臺北市大同區昌吉街52號9-10樓,(02)2598-8710
日間照顧中心,臺北市興隆老人日間照顧中心,臺北市文山區興隆路四段105巷47號B棟2樓,(02)2396-7119
日間照顧中心,文山老人養護中心附設日間照顧,臺北市文山區興隆路二段95巷8號3樓,(02)8931-3190
日間照顧中心,兆如老人安養護中心附設日間照顧,臺北市文山區政大二街129號,(02)8661-6365
